Sigla,Codigo,Município,Despesa,Receita,score_total,Receita-capital,Despesa-capital,score_capital,PIB
RJ,3304904,São Gonçalo,359656410,744419915,0.48313647,"11,261,763",61050392,5.421033,4614036
RJ,3305000,São João da Barra,,,#DIV/0!,"746,798",70265548,94.089152,1554873
RJ,3305109,São João de Meriti,224800528,393286486,0.5715948455,"27,410,961",54845878,2.000874,2153451
RJ,3305133,São José de Ubá,13198755,29293082,0.4505758389,"2,484,551",4912874,1.977369,32920
RJ,3305158,São José do Vale do Rio Preto,29593207,53098416,0.5573274996,0,7351727,#DIV/0!,288670
RJ,3305208,São Pedro da Aldeia,67566217,126482372,0.5341947309,"1,112,330",15224978,13.687469,419778
RJ,3305307,São Sebastião do Alto,20294145,37400513,0.5426167579,"2,141,704",5084514,2.374050,44211
RJ,3305406,Sapucaia,25211946,50978250,0.4945628003,"977,133",4615607,4.723623,180046
RJ,3305505,Saquarema,73439674,137636020,0.5335788835,"30,667,272",65230732,2.127047,422118
RJ,3305554,Seropédica,78606715,136159284,0.5773143987,"1,284,829",9995671,7.779770,380402
RJ,3305604,Silva Jardim,,,#DIV/0!,"1,347,078",11788504,8.751168,85900
RJ,3305703,Sumidouro,27158273,51946465,0.522812719,"2,674,505",4241052,1.585734,85713
RJ,3305752,Tanguá,33994678,62940530,0.5401079037,0,20659077,#DIV/0!,129690
RJ,3305802,Teresópolis,168874546,324967480,0.5196659868,0,9413425,#DIV/0!,1233352
RJ,3305901,Trajano de Morais,24714207,40838567,0.6051683149,"2,605,150",6273143,2.407978,40883
RJ,3306008,Três Rios,70473502,150512893,0.4682223607,"2,876,406",10186063,3.541247,773363
RJ,3306107,Valença,69396458,127087183,0.5460539464,"3,719,007",14139273,3.801895,440353
RJ,3306156,Varre-Sai,,,#DIV/0!,"1,830,055",2404559,1.313927,42827
RJ,3306206,Vassouras,42060374,85690402,0.4908411352,"5,953,792",9218137,1.548280,180579
RJ,3306305,Volta Redonda,383126500,712607700,0.537640135,"1,496,100",116940500,78.163559,4092057
RJ,3399919,Sâo João Marcos,,,#DIV/0!,,,#DIV/0!,
RJ,3399929,São Sebastião do Parahyba,,,#DIV/0!,,,#DIV/0!,
RN,2400109,Acari,9966878,16053892,0.6208387759,"754,439",1158339,1.535365,30995
RN,2400208,Açu,39282395,78671930,0.499319075,"1,734,580",5598217,3.227420,180136
RN,2400307,Afonso Bezerra,9912371,16672449,0.5945359581,"943,561",1624664,1.721843,20907
RN,2400406,Água Nova,5685365,9101676,0.6246503715,"916,795",1409438,1.537353,6793
RN,2400505,Alexandria,,,#DIV/0!,"540,922",1377593,2.546749,29788
RN,2400604,Almino Afonso,4709670,10361701,0.4545267059,"2,322,803",2302570,0.991289,9577
RN,2400703,Alto do Rodrigues,18629422,36955883,0.5040989467,"558,169",4535015,8.124802,83809
RN,2400802,Angicos,9673946,16553904,0.5843906109,0,630542,#DIV/0!,30852
RN,2400901,Antônio Martins,8174589,13005748,0.6285366113,"727,254",1690334,2.324270,14193
RN,2401008,Apodi,28651431,44813430,0.6393491965,"2,543,514",7392595,2.906449,130667
RN,2401107,Areia Branca,34912743,60766088,0.5745431966,"1,692,650",4098866,2.421567,203448
RN,2401206,Arês,15874317,27230893,0.5829525152,"1,268,398",1878595,1.481076,84149
RN,2401305,Augusto Severo,,,#DIV/0!,"1,736,160",1685800,0.970993,20190
RN,2401404,Baía Formosa,9464004,20744198,0.4562241712,"314,050",2870828,9.141309,84883
RN,2401453,Baraúna,,,#DIV/0!,0,2055424,#DIV/0!,92413
RN,2401503,Barcelona,6515647,10049956,0.6483259425,"236,515",362847,1.534139,8445
RN,2401602,Bento Fernandes,7775974,11851583,0.6561127466,0,210886,#DIV/0!,12608
RN,2401651,Bodó,6758907,11881394,0.5688648429,"41,100",597637,14.541046,8145
RN,2401701,Bom Jesus,7506617,13259275,0.5661408276,"18,800",492789,26.212181,20886
RN,2401800,Brejinho,11200130,19071533,0.5872695416,"894,057",2698012,3.017718,27025
RN,2401859,Caiçara do Norte,,,#DIV/0!,0,46629,#DIV/0!,16144
RN,2401909,Caiçara do Rio do Vento,,,#DIV/0!,"140,102",1013507,7.234088,8799
RN,2402006,Caicó,41730491,74425568,0.5607010103,"919,434",2756300,2.997824,244595
RN,2402105,Campo Redondo,9244220,14527682,0.6363176317,0,943635,#DIV/0!,20444
RN,2402204,Canguaretama,,,#DIV/0!,"2,286,193",2944167,1.287804,74753
RN,2402303,Caraúbas,,,#DIV/0!,"1,418,934",5934956,4.182686,75667
RN,2402402,Carnaúba dos Dantas,7658035,11665286,0.6564807312,"594,790",1383803,2.326539,18269
RN,2402501,Carnaubais,,,#DIV/0!,"1,192,235",2545271,2.134874,34480
RN,2402600,Ceará-Mirim,60881919,85592633,0.7112985878,"1,511,394",4269151,2.824644,171418
RN,2402709,Cerro Corá,9523602,17189968,0.554020944,"1,322,644",3173086,2.399047,24522
RN,2402808,Coronel Ezequiel,6025987,10366761,0.5812795822,"43,831",896740,20.459017,11647
RN,2402907,Coronel João Pessoa,7943166,12134482,0.6545946314,"493,793",850740,1.722869,10267
RN,2403004,Cruzeta,7173775,11676797,0.6143615242,"49,584",1159718,23.388824,24128
RN,2403103,Currais Novos,28937501,46423280,0.6233402899,"957,008",3071071,3.209034,151119
RN,2403202,Doutor Severiano,8085017,13087002,0.6177898468,"1,012,222",1829194,1.807108,13122
RN,2403251,Parnamirim,170206592,283704896,0.599942385,"3,454,562",18364418,5.315990,1048819
RN,2403301,Encanto,5380929,11283868,0.4768691805,0,1009678,#DIV/0!,11143
RN,2403400,Equador,6882600,11456114,0.6007796677,"51,000",395568,7.756235,16533
RN,2403509,Espírito Santo,7655637,13150676,0.5821477588,"370,325",473716,1.279189,17324
RN,2403608,Extremoz,24025520,37891497,0.6340609869,"1,207,089",3663902,3.035321,66760
RN,2403707,Felipe Guerra,,,#DIV/0!,,,#DIV/0!,26370
RN,2403756,Fernando Pedroza,5505836,8684320,0.6339973364,"310,278",452730,1.459112,6678
RN,2403806,Florânia,7544842,11832649,0.6376291232,0,427592,#DIV/0!,20227
RN,2403905,Francisco Dantas,3751050,8470037,0.4428610616,33,1168614,35135.718581,7059
RN,2404002,Frutuoso Gomes,5767214,10130879,0.5692708096,"639,228",679174,1.062492,9640
RN,2404101,Galinhos,,,#DIV/0!,,,#DIV/0!,21000
RN,2404200,Goianinha,29469061,48172163,0.611744609,"1,024,810",4424102,4.316998,70511
RN,2404309,Governador Dix-Sept Rosado,15356059,26301998,0.5838362315,"337,790",1843816,5.458468,63701
RN,2404408,Grossos,8858412,15937476,0.5558227417,"391,975",572166,1.459699,53106
RN,2404507,Guamaré,70311519,136653145,0.514525438,587,12013702,20455.818151,534473
RN,2404606,Ielmo Marinho,15707353,31866657,0.4929087155,"1,022,552",7467619,7.302924,31944
RN,2404705,Ipanguaçu,12716833,23281124,0.5462293231,"825,000",2625616,3.182565,39124
RN,2404804,Ipueira,4261882,8190919,0.5203179552,"301,471",563788,1.870124,6438
RN,2404853,Itajá,8616247,11823218,0.7287565054,"136,939",575700,4.204063,23555
RN,2404903,Itaú,6548135,13208869,0.4957377554,0,3395151,#DIV/0!,13903
RN,2405009,Jaçanã,7884851,12271210,0.6425488081,"3,024,713",3049312,1.008133,15887
RN,2405108,Jandaíra,6918033,12502429,0.5533350976,"1,270,081",1374829,1.082473,13195
RN,2405207,Janduís,8033917,11774831,0.6822957935,"867,575",2717804,3.132646,12892
RN,2405306,Januário Cicco,9715639,15284285,0.6356619926,"161,793",1112039,6.873219,20870
RN,2405405,Japi,6173956,10288673,0.6000731556,"275,000",905841,3.293968,10749
RN,2405504,Jardim de Angicos,,,#DIV/0!,,,#DIV/0!,6307
RN,2405603,Jardim de Piranhas,11461318,19455070,0.5891172747,"1,369,982",1744581,1.273434,34230
RN,2405702,Jardim do Seridó,9357986,16119592,0.5805349,"117,000",118214,1.010376,31591
RN,2405801,João Câmara,25548459,42728359,0.5979274432,"875,503",2115507,2.416333,74543
RN,2405900,João Dias,,,#DIV/0!,"20,000",1983180,99.159000,5621
RN,2406007,José da Penha,5949311,11584574,0.5135545454,"440,277",743313,1.688284,13710
RN,2406106,Jucurutu,19128966,27712661,0.6902608879,"1,848,696",3836391,2.075188,46491
RN,2406155,Jundiá,5863196,9595992,0.6110047116,"55,200",1070702,19.396775,7976
RN,2406205,Lagoa d'Anta,6791223,11554045,0.5877788239,"65,562",489321,7.463485,13808
RN,2406304,Lagoa de Pedras,5955414,11972274,0.4974338418,0,1204421,#DIV/0!,13336
RN,2406403,Lagoa de Velhos,5646901,9315457,0.6061861692,"226,340",789880,3.489794,7439
RN,2406502,Lagoa Nova,15030254,23860983,0.6299092362,"52,250",1831934,35.060938,28955
